14;35;1;2016-06-09 00:00:00;"Visite";27,00
15;35;3;2016-06-09 00:00:00;"Infusion mit Injektionen";23,60
16;35;1;2016-06-09 00:00:00;"Injektionen";7,20
17;35;6;2016-06-09 00:00:00;"Medikamente";6,40
33;52;1;2016-07-22 00:00:00;"Krallen schneiden";12,00
34;52;6;2016-07-22 00:00:00;"Bravecto";28,40
35;53;1;2016-07-23 00:00:00;"Visite";27,00
36;53;1;2016-07-23 00:00:00;"Injektionen";3,10
37;53;3;2016-07-23 00:00:00;"Infusion";15,00
38;53;6;2016-07-23 00:00:00;"Dia dog";5,10
39;55;1;2016-09-12 00:00:00;"Kontrolle";17,00
40;55;4;2016-09-12 00:00:00;"Röntgen";40,00
41;55;7;2016-09-12 00:00:00;"Futter";25,65
42;56;1;2016-09-12 00:00:00;"Kontrolle";17,00
43;56;4;2016-09-12 00:00:00;"Röntgen";40,00
44;56;7;2016-09-12 00:00:00;"Diätfutter";25,65
45;57;1;2016-09-12 00:00:00;"Kontrolle";17,00
46;57;4;2016-09-12 00:00:00;"Röntgen";40,00
47;57;7;2016-09-12 00:00:00;"Futter";25,65
55;65;1;2016-09-22 00:00:00;"Krallen schneiden";12,00
56;66;1;2016-09-22 00:00:00;"Krallen schneiden";12,00
57;67;1;2016-09-22 00:00:00;"Krallenschneiden";0,00
63;73;2;2016-09-23 00:00:00;"zzz";123,00
64;74;2;2016-09-23 00:00:00;"33";55,00
70;80;1;2016-09-25 00:00:00;;0,00
71;81;1;2016-09-26 00:00:00;"Krallen schneiden";12,00
72;81;6;2016-09-26 00:00:00;"Enteroferm-Gel";5,10
73;81;6;2016-09-26 00:00:00;"Wurmtablette";1,90
74;81;1;2016-09-26 00:00:00;"EU-Pass";20,00
75;82;1;2016-10-01 00:00:00;"Visite";27,00
76;82;3;2016-10-01 00:00:00;"Injektion";3,50
77;82;6;2016-10-01 00:00:00;"Augensalbe";5,40
78;82;6;2016-10-01 00:00:00;"AB und Schmerztabletten";13,20
79;83;1;2016-10-04 00:00:00;"Zahnsteinentfernung incl. Politur";105,00
80;83;6;2016-10-04 00:00:00;"Schmerzlösung";1,50
81;85;1;2016-10-04 00:00:00;"Zahnsteinentfernung mit Politur";105,00
