35;3162;4184;2016;6;2016-06-09 00:00:00;"Wien";"Vomitus und Diarrhoe";;64,20;62,42;1,20;0,00;0,58
52;4745;6752;2016;1;2016-07-22 00:00:00;"Wien";"Krallen schneiden, Bravecto";;40,40;35,82;2,00;0,00;2,58
53;4750;6759;2016;2;2016-07-23 00:00:00;"Wien";"Durchfall mit Erbrechen, Scheinträchtigkeit";;50,20;47,24;2,50;0,00;0,46
55;3491;4712;2016;6;2016-09-12 00:00:00;"Wien";"";;82,65;73,03;6,67;2,95;0,00
56;3491;4712;2016;6;2016-09-12 00:00:00;"Wien";"Coxarthrose";;82,65;73,03;6,67;2,95;0,00
57;3491;4712;2016;6;2016-09-12 00:00:00;"Wien";"Coxarthrose";;82,65;73,03;6,67;2,95;0,00
65;4745;6752;2015;;2016-09-22 00:00:00;"Wien";"Krallen schneiden";;0,00;0,00;0,00;0,00;0,00
66;4745;6752;2015;6;2016-09-22 00:00:00;"Wien";"Krallen schneiden";;0,00;0,00;0,00;0,00;0,00
67;4745;6752;2015;6;2016-09-22 00:00:00;"Wien";"Krallen schneiden";;0,00;0,00;0,00;0,00;0,00
73;1395;1934;2016;5;2016-09-23 00:00:00;"Wien";"hhh";;123,00;102,50;20,50;0,00;0,00
74;1395;1934;2016;12;2016-09-23 00:00:00;"Wien";"6hhh";;55,00;45,83;9,17;0,00;0,00
75;4121;5750;2016;1;2016-09-23 00:00:00;"Wien";"";;0,00;0,00;0,00;0,00;0,00
80;1395;1934;2016;6;2016-09-25 00:00:00;"Wien";"";;0,00;0,00;0,00;0,00;0,00
81;4563;6472;2016;6;2016-09-26 00:00:00;"Wien";"EU-Pass, Krallen, entwurmen";;39,00;35,50;3,33;0,00;0,17
82;4928;7016;2016;7;2016-10-01 00:00:00;"Wien";"Hundebiss";;49,10;47,32;0,58;0,00;1,20
83;3491;4712;2016;8;2016-10-04 00:00:00;"Wien";"Gingivitis durch den Zahnstein";;106,50;88,86;17,50;0,00;0,14
84;3491;4828;2016;1;2016-10-04 00:00:00;"Wien";"";;0,00;0,00;0,00;0,00;0,00
85;3491;4712;2016;8;2016-10-04 00:00:00;"Wien";"Gingivitis durch Zahnstein";;106,50;88,86;17,50;0,00;0,14
86;4078;5695;2016;9;2016-10-10 00:00:00;"Wien";"purulente Rhinitis";;48,80;46,08;1,83;0,00;0,89
87;3162;4184;2016;10;2016-10-12 00:00:00;"Wien";"Malassezien-Pododermaditis";;80,20;74,07;2,83;0,00;3,29
88;1699;3184;2016;11;2016-10-18 00:00:00;"Wien";"hgr. Gingivitis";;176,40;149,76;23,33;0,00;3,31
89;1699;3184;2016;;2016-10-18 00:00:00;"Wien";"";;0,00;0,00;0,00;0,00;0,00
90;1699;3184;2016;11;2016-10-18 00:00:00;"Wien";"hgr. Gingivitis";;184,40;157,03;23,33;0,00;4,04
91;1699;3184;2016;12;2016-10-18 00:00:00;"Wien";"Inkontinenz";;184,00;180,65;0,00;0,00;3,35
92;1699;3184;2016;13;2016-10-18 00:00:00;"Wien";"";;0,00;0,00;0,00;0,00;0,00
93;1699;3184;2016;13;2016-10-18 00:00:00;"Wien";"deutliche Mitralisendokardiose";;349,20;344,35;0,00;0,00;4,85
94;4935;7026;;;2016-10-21 00:00:00;"Wien";"";;0,00;0,00;0,00;0,00;0,00
95;1699;7074;2016;14;2016-10-28 00:00:00;"Wien";"";;0,00;0,00;0,00;0,00;0,00
96;3520;4756;2016;14;2016-10-28 00:00:00;"Wien";"Pyometra";;334,00;329,75;3,75;0,00;0,50
98;4745;6752;2016;15;2016-10-31 00:00:00;"Wien";"Impfung, Entwurmung, Floh-Zecken-Prophylaxe";;83,00;72,83;8,00;0,00;2,17
99;2511;3123;2016;16;2016-12-02 00:00:00;"Wien";"kkoo";;28,00;23,33;4,67;0,00;0,00
100;4745;6752;2016;16;2016-12-15 00:00:00;"Wien";"Konjunktivits, beiderseits";;38,60;32,80;4,67;0,78;0,35
101;3162;4184;2016;17;2016-12-20 00:00:00;"Wien";"hgr. Gingivitis";;136,50;114,40;21,33;0,00;0,77
102;3162;4184;2016;18;2016-12-20 00:00:00;"Wien";"Pododermatitis auf allen 4 Pfoten";;122,30;104,58;17,72;0,00;0,00
103;2511;3123;2016;19;2016-12-20 00:00:00;"Wien";"Polydipsie/ Polyurie, VD auf Cushing";;226,90;217,24;6,97;0,00;2,69
104;2511;3123;2016;19;2016-12-20 00:00:00;"Wien";"Polydipsie / Polyrie, VD auf Cushing";;226,90;218,74;4,75;3,41;0,00
105;2511;3123;2016;21;2016-12-20 00:00:00;"Wien";"Diarrhoe";;63,70;58,72;4,98;0,00;0,00
106;2511;3123;2016;20;2016-12-20 00:00:00;"Wien";"Diarrhoe";;63,70;58,72;4,98;0,00;0,00
107;3162;4184;2017;1;2017-01-09 00:00:00;"Wien";"Tonsillitis und Laryngitis";;62,20;61,45;0,65;0,00;0,10
111;3491;4712;2017;3;2017-01-12 00:00:00;"Wien";"Vomitus";;83,50;70,38;12,17;0,00;0,95
112;4745;6752;2017;3;2017-01-16 00:00:00;"Wien";"Tonsillitis, Laryngitis, blutige Diarrhoe";;62,10;53,67;6,12;0,00;2,31
113;3162;4184;2017;4;2017-02-01 00:00:00;"Wien";"Konjunktivitis";;33,40;28,24;4,67;0,00;0,49
114;4745;6752;2017;5;2017-02-10 00:00:00;"Wien";"Diarrhoe, unregelmäßiger Appetit";;182,90;172,08;10,62;0,20;0,00
